var,parameter,est
HAQ,beta1,-0.089819885
HAQ2,beta1,0.000525916
Pain/100,beta1,-0.057952582
Age/10m,beta1,0.004871839
Age/10m2,beta1,0.000277046
HAQ,beta2,0.054383137
HAQ2,beta2,-0.050915914
Pain/100,beta2,-0.384088121
Age/10m,beta2,0.029093294
Age/10m2,beta2,0.002262836
HAQ,beta3,-0.141482101
HAQ2,beta3,0.015465378
Pain/100,beta3,-0.083925893
Age/10m,beta3,0.003728168
Age/10m2,beta3,0.00071886
HAQ,beta4,-0.195798978
HAQ2,beta4,0.034715726
Pain/100,beta4,-0.012745796
Age/10m,beta4,-0.004299891
Age/10m2,beta4,0.0002271
Intercept1,alpha1,0.814127363
Intercept2,alpha2,0.426581217
Intercept3,alpha3,0.329688793
Intercept4,alpha4,1.022019574
Male,alpha,-0.026542757
Variance 1,epsilon1,0.002517113
Variance 2,epsilon2,0.023997163
Variance 3,epsilon3,0.002224878
Variance 4,epsilon4,0.004379523
Variance,mu,0.002605149
Intercept 1,delta1,-1.274627693
HAQ,delta1,0.242049855
Pain/100,delta1,23.46730711
Pain/1002,delta1,-21.55125186
Intercept 2,delta2,-6.631010968
HAQ,delta2,2.193565335
Pain/100,delta2,18.37186433
Pain/1002,delta2,-13.80008043
Intercept 3,delta3,-7.476836039
HAQ,delta3,1.051656593
Pain/100,delta3,25.33955278
Pain/1002,delta3,-16.96221925
