num,nma_name,sname
1,DMARD,cdmards
2,ABA 10/kg + MTX,abtivmtx
3,ABA SC 125 + MTX,abtscmtx
4,TOC 8,
5,TOC 8 + DMARD,
6,TOC 4 + DMARD,
7,ADA 40,ada
8,ADA 40 + MTX,adamtx
9,INF 3 + MTX,
10,INF 3 Q8W + MTX,ifxmtx
11,ANA 80 + MTX,
12,PLAC,placebo
13,TOC SC 162,tcz
14,CZP 400 + DMARD,
15,ANA 100 + MTX,
16,ETN 50,etn
17,RTX 1000 + MTX,rtxmtx
18,ETN 50 + MTX,etnmtx
19,RTX 1000,rtx
20,CZP 400,czp
21,TOF 5,tof
22,GOL 50 + MTX,golmtx
23,GOL 2mg/kg + MTX,
24,CZP 200 + DMARD,
25,CZP 200 + MTX,
26,CZP 400 + MTX,czpmtx
27,MTX,
28,ABA 2/kg + MTX,
29,TOF 5 + MTX,tofmtx
30,SAR 200 + MTX,
31,SAR 200,
32,TOC 4 + MTX,
33,TOC 8 + MTX,
34,TOC SC 162 + DMARD,tczmtx
35,ETN 50 + ANA 100,
36,,nbt
37,,tt
38,,gol
