tk,sk,
0,1,
0.030582256,0.995701721,0.004298279
0.050698202,0.987180383,0.008521338
0.070792656,0.976531396,0.010648987
0.095916098,0.963752075,0.012779321
0.115989061,0.950975441,0.012776634
0.146141489,0.936065785,0.014909656
0.176229442,0.914773185,0.0212926
0.201288409,0.89561092,0.019162265
0.22131839,0.878578989,0.017031931
0.246398848,0.861544372,0.017034617
0.276572767,0.848762364,0.012782008
0.296559765,0.827475137,0.021287227
0.331762671,0.812562795,0.014912342
0.351835634,0.799786161,0.012776634
0.37195158,0.791264822,0.008521339
0.402125499,0.778482815,0.012782007
0.432299418,0.765700808,0.012782007
0.467502324,0.750788466,0.014912342
0.512806185,0.735870751,0.014917715
0.553016586,0.716700426,0.019170325
0.583211996,0.706046067,0.010654359
0.613407407,0.695391708,0.010654359
0.648631804,0.682607014,0.012784694
0.693957157,0.669816947,0.012790067
0.724174059,0.661290236,0.008526711
0.73421054,0.654901919,0.006388317
0.764427442,0.646375208,0.008526711
0.789572375,0.635723535,0.010651673
0.824882738,0.631449433,0.004274102
0.855099639,0.622922722,0.008526711
0.890388511,0.616520973,0.006401749
0.915554935,0.607996948,0.008524025
0.945771837,0.599470237,0.008526711
0.986089694,0.590938153,0.008532084
1.00620564,0.582416815,0.008521338
1.04147302,0.573887417,0.008529398
1.071732905,0.569616002,0.004271415
1.107021776,0.563214253,0.006401749
1.152411603,0.556807131,0.006407122
1.177578027,0.548283106,0.008524025
1.207837912,0.544011691,0.004271415
1.238076305,0.537612628,0.006399063
1.283466132,0.531205506,0.006407122
1.313726017,0.526934091,0.004271415
1.348993397,0.518404694,0.008529397
1.374202804,0.514135965,0.004268729
1.419592631,0.507728843,0.006407122
1.459974963,0.505579704,0.002149139
1.510393776,0.497042247,0.008537457
1.555783603,0.490635124,0.006407123
1.591050983,0.482105727,0.008529397
1.63644081,0.475698605,0.006407122
1.681830637,0.469291482,0.006407123
1.722212969,0.467142343,0.002149139
1.767602796,0.460735221,0.006407122
1.807942145,0.454330785,0.006404436
1.848324477,0.452181645,0.00214914
1.908865738,0.445766464,0.006415181
1.964356521,0.439353969,0.006412495
2.009767839,0.435074495,0.004279474
2.05012868,0.430797707,0.004276788
2.080388564,0.426526292,0.004271415
2.120749405,0.422249504,0.004276788
2.181312157,0.417961971,0.004287533
2.231773954,0.41367981,0.004282161
2.287264736,0.407267315,0.006412495
2.342798502,0.405110117,0.002157198
2.378130356,0.402963663,0.002146454
2.41346221,0.40081721,0.002146453
2.448772573,0.396543109,0.004274101
2.499234369,0.392260949,0.00428216
2.539638192,0.392239457,2.1492E-05
2.595107484,0.383699314,0.008540143
2.665771192,0.379406408,0.004292906
2.7364349,0.375113501,0.004292907
2.781889201,0.375089324,2.4177E-05
2.842430462,0.368674142,0.006415182
2.88784178,0.364394668,0.004279474
2.928267095,0.362,0.002394668
3.054443077,0.357923072,0.004076928
3.125128277,0.355757813,0.002165259
3.180640551,0.351472967,0.004284846
3.251282768,0.345052412,0.006420555
3.321946476,0.340759506,0.004292906
3.367400777,0.340735328,2.4178E-05
3.407783109,0.338586189,0.002149139
3.448165441,0.336437049,0.00214914
3.493598251,0.334285223,0.002151826
3.539009569,0.330005749,0.004279474
3.594543335,0.32784855,0.002157199
3.645048114,0.327821686,2.6864E-05
3.700560388,0.323536839,0.004284847
3.756094154,0.32137964,0.002157199
3.811627919,0.319222441,0.002157199
3.867118702,0.312809946,0.006412495
3.91760199,0.310655434,0.002154512
3.957984322,0.308506294,0.00214914
4.003438623,0.308482116,2.4178E-05
4.053921911,0.306327604,0.002154512
