,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,Intercept1,Intercept2,Intercept3,Intercept4,Male,Variance 1,Variance 2,Variance 3,Variance 4,Variance,Intercept 1,HAQ,Pain/100,Pain/1002,Intercept 2,HAQ,Pain/100,Pain/1002,Intercept 3,HAQ,Pain/100,Pain/1002
HAQ,7.44655E-06,-2.15982E-06,-3.34149E-06,-4.64353E-07,-3.06909E-08,1.42008E-05,-4.94768E-06,-1.32272E-05,6.40751E-07,1.83444E-07,2.60652E-06,-8.62305E-07,-1.61777E-06,-2.43709E-07,-8.75785E-08,0.000153802,-4.6125E-05,0.000119208,1.00519E-05,-3.04658E-06,-1.31844E-06,2.92543E-06,-3.52965E-07,-6.11747E-05,1.52395E-07,3.89927E-08,6.46786E-07,3.98485E-08,-7.92574E-06,3.10098E-08,3.40139E-05,0.000843411,-0.000152037,0.000793125,-0.000328417,0.00079358,0.001709113,-0.000933187,-0.000187312,0.000829588,0.000962685,-0.000318551
HAQ2,-2.15982E-06,7.96715E-07,5.85272E-07,7.72688E-08,3.92368E-09,-3.52946E-06,1.30355E-06,3.05146E-06,-1.79253E-07,-4.29878E-08,-8.05368E-07,3.34953E-07,2.19565E-07,3.98108E-08,1.38539E-08,-2.91431E-05,8.80612E-06,-2.20516E-05,-1.87137E-06,5.7984E-07,4.46054E-07,-8.00032E-07,2.1729E-07,1.14909E-05,-4.86836E-08,-5.44137E-09,-1.67143E-07,-1.03183E-08,1.48008E-06,-2.56638E-09,-4.90733E-06,-0.000158294,2.08931E-05,-0.000136401,5.8998E-05,-0.000148592,-0.000321155,0.000183584,3.93079E-05,-0.000157502,-0.000188242,7.07995E-05
Pain/100,-3.34149E-06,5.85272E-07,5.19444E-06,4.37573E-07,3.69809E-08,-6.19484E-06,1.93469E-06,7.52853E-06,-1.0274E-07,-9.27969E-08,-4.19051E-07,4.59876E-08,1.38034E-06,2.48496E-07,5.61307E-08,-0.000121755,3.65009E-05,-8.72416E-05,-8.08673E-06,2.3352E-06,-9.19019E-07,-1.32114E-06,-4.10922E-07,4.63115E-05,1.64756E-07,-5.36408E-08,-1.73748E-07,-9.17731E-09,6.31148E-06,-1.77875E-08,-5.27745E-05,-0.000678275,0.000200248,-0.000607002,0.000259208,-0.000640237,-0.001325749,0.000774781,0.000125146,-0.000662791,-0.000673044,0.00024908
Age/10m,-4.64353E-07,7.72688E-08,4.37573E-07,2.29679E-07,3.66079E-08,-1.06783E-07,-8.43765E-09,4.33359E-07,2.26499E-07,3.93186E-08,-1.71728E-07,3.39858E-08,5.30361E-09,1.30764E-07,2.77843E-08,-1.91904E-05,5.77149E-06,-1.52202E-05,-1.15802E-06,3.77955E-07,-5.00224E-08,-8.38366E-08,1.32908E-07,7.60876E-06,-4.3419E-08,-7.30556E-09,2.09365E-08,4.39466E-09,1.00376E-06,-3.36382E-09,-6.9611E-06,-0.000104169,2.62963E-05,-0.000111413,4.09483E-05,-9.67549E-05,-0.000220782,0.000110273,2.6367E-05,-0.000101631,-0.000125668,3.59376E-05
Age/10m2,-3.06909E-08,3.92368E-09,3.69809E-08,3.66079E-08,5.23257E-08,1.67245E-07,-6.73506E-08,-7.87917E-08,6.88092E-08,5.02612E-08,-2.29822E-09,-8.21517E-10,-3.4589E-08,2.73275E-08,2.25593E-08,-1.74156E-06,5.3073E-07,-1.46326E-06,-1.13599E-07,8.17862E-08,-9.41608E-08,-5.4435E-08,-1.62924E-08,6.06184E-07,1.2128E-08,-8.25796E-10,1.32543E-08,2.069E-09,8.93561E-08,-5.0786E-10,-6.59328E-07,-9.56619E-06,2.38855E-06,-1.01006E-05,3.64848E-06,-8.51827E-06,-2.20326E-05,1.06083E-05,3.66923E-06,-9.2691E-06,-1.41842E-05,5.06868E-06
HAQ,1.42008E-05,-3.52946E-06,-6.19484E-06,-1.06783E-07,1.67245E-07,0.000908459,-0.000294812,-0.000501144,3.17085E-05,4.0211E-06,-3.35655E-05,1.07394E-05,-5.5593E-05,4.22643E-06,-1.60473E-07,0.000191689,-5.64698E-05,0.000110978,1.2572E-05,-3.65068E-06,-4.16168E-06,-0.000190061,5.89492E-05,-7.62517E-05,5.58644E-07,-1.77772E-07,3.24647E-05,2.8238E-06,-1.00816E-05,3.16421E-07,9.03957E-05,0.001036606,-0.001135411,0.001494167,-0.000570903,0.001781109,-0.003487963,0.001335489,0.002026063,0.001294296,-0.0044575,0.002796168
HAQ2,-4.94768E-06,1.30355E-06,1.93469E-06,-8.43765E-09,-6.73506E-08,-0.000294812,9.95633E-05,0.00016514,-1.25691E-05,-1.71866E-06,1.19408E-05,-3.96374E-06,1.90456E-05,-1.4817E-06,8.46149E-08,-6.23094E-05,1.84789E-05,-3.22282E-05,-4.04032E-06,1.13326E-06,1.49525E-06,4.39459E-05,-1.98433E-05,2.46584E-05,-1.99478E-07,7.48361E-08,-1.16554E-05,-9.78511E-07,3.2587E-06,-1.13675E-07,-3.49713E-05,-0.000330099,0.000463886,-0.00053267,0.000120158,-0.000567098,0.001414234,-0.000591808,-0.000674454,-0.000432156,0.001570962,-0.000957871
Pain/100,-1.32272E-05,3.05146E-06,7.52853E-06,4.33359E-07,-7.87917E-08,-0.000501144,0.00016514,0.000505803,-1.56173E-05,5.86253E-07,1.2813E-05,-3.31262E-06,4.00132E-05,-3.58242E-06,8.8858E-08,-0.000242768,7.17146E-05,-0.000132035,-1.59946E-05,4.49449E-06,2.80705E-06,-7.91231E-05,-3.77676E-05,9.46596E-05,-1.29196E-07,1.79928E-07,-2.56919E-05,-2.44786E-06,1.27595E-05,-2.30192E-07,-0.00013968,-0.001291398,0.001511551,-0.001862396,0.00064853,-0.001808548,0.001404342,0.000172035,-0.001984356,-0.001427267,0.004888787,-0.003440592
Age/10m,6.40751E-07,-1.79253E-07,-1.0274E-07,2.26499E-07,6.88092E-08,3.17085E-05,-1.25691E-05,-1.56173E-05,1.24629E-05,3.14209E-06,-3.467E-07,-7.06389E-09,-5.46157E-06,-6.7792E-07,-3.01945E-07,3.10095E-06,-8.29343E-07,-1.74153E-06,3.31041E-07,-7.51425E-09,-3.07126E-07,-4.00002E-09,4.63414E-06,-1.07829E-06,-5.26109E-08,-2.08329E-08,1.83571E-06,2.24856E-07,-1.64659E-07,1.00531E-08,4.47079E-06,1.72761E-05,-9.1213E-05,4.16837E-05,-2.93817E-05,8.02007E-05,-0.000377045,0.000144376,0.000181479,2.18501E-05,-0.000435916,0.000244643
Age/10m2,1.83444E-07,-4.29878E-08,-9.27969E-08,3.93186E-08,5.02612E-08,4.0211E-06,-1.71866E-06,5.86253E-07,3.14209E-06,2.7964E-06,4.0572E-07,-1.85241E-07,-3.50303E-07,-2.53026E-07,-2.72187E-07,6.02146E-06,-1.80058E-06,4.06975E-06,4.27625E-07,-4.72911E-08,-9.40927E-08,-4.91945E-06,4.24275E-07,-2.43565E-06,-3.51254E-09,-7.97128E-10,1.80488E-07,2.31564E-08,-3.17446E-07,1.24162E-09,2.81629E-06,3.24435E-05,-2.33114E-05,4.06127E-05,-1.52626E-06,3.51919E-05,-1.52626E-05,1.12359E-05,-5.96375E-06,3.34078E-05,3.10218E-05,-1.31E-05
