Trial,Disease Duration,Acute-phase reactant levels (CRP or ESR),Swollen and Tender Joint Count,Prior Treatment Requirements,Prior Treatment Failure Requirements,Exclusion Criteria Base on Treatment History (Any Use at Any Timepoint)
ACQUIRE,--,CRP levels of >=0.8 mg/dL,>=10 SJC and >=12 TJCj,MTX for >= 3 month (.=15 mg/week),inadequate response to 3 months of MTX therapy ( 15 mg/week),prior exposure to rituximab
ACT-RAY,--,--,--,"MTX dose >=12 weeks, with a stable dose of at least 15 mg/week for 6 weeks or longer before starting study treatment.",inadequate response to MTX,--
ACT-STAR,>=6 months,No requirement,>=4 SJC and >=4 TJCg,history of bDMARDs or cDMARD use,inadequate response to bDMARDs or cDMARDs,--
ADACTA,>=6 months,No requirement,--,MTX (current or past use); MTX intolerant patients were permitted,"inadequate response to MTX, be unable to tolerate MTX, or be inappropriate candidates for continued MTX treatment in the judgment of the investigator",prior exposure to bDMARDs
AIM,>=1 year,CRP of >=10.0mg/l,>=10 SJC and >=12 TJCj,MTX (>=15 mg/wk) for >=3 months (28 day stable dose prior to entry),inadequate response to MTX (>=15mg/week),--
AMPLE,<=5 years,--,--,prior history of MTX use,inadequate response to MTX,bDMARDS
ARMADA,--,--,>=9 TJC and >=6 SJCj,MTX >=6 months or longer (28 day stable dose prior to entry),inadequate response to MTX,anti-CD4 therapy or TNF antagonists
ASCERTAIN,>=3 months,hs-CRP of >=4mg/l,>=4 TJC and >=4 SJCg,>=1 TNF; continuous tx with >=1 cDMARD (except for simultaneously use of LEF and MTX) for >=12 consecutive weeks prior to screening and on a stable dose for >=6 weeks,>=1 TNF or patients intolerant of >=1 TNF,--
ATTAIN,>=1 year,CRP of >=1mg/dL,>=10 SJC and >=12 TJCj,"anti-TNF alpha therapy (etanercept, infliximab, or both); oral DMARD for >=3 months (stable dose 28 days prior to study entry)","inadequate response to anti–TNF therapy with etanercept, infliximab, or both at the approved dose after >=3 months",--
ATTEST,>=1 year,CRP of >=1 mg/dL,>=10 SJC and >=12 TJCj,MTX (>=15 mg/week) for >=3 months prior to randomisation (stable for at least 28 days),inadequate response to MTX,any prior abatacept or anti-TNF therapy
ATTRACT,--,ESR of >28mm/h and CRP of >2mg/dL,>=6 SJC and >=6 TJCj,MTX for >=3 months with no break in treatment of more than 2 weeks during this period (stable dose >=12.5mg/week 4 weeks prior to screening),inadequate response to MTX,cDMARDs other than MTX
Bao 2011,--,CRP of >= 15mg/l or ESR of >=28mm/ha,>=6 SJC or >=6 TJCj,MTX (7.5-25mg per week) for >=12 weeks,active disease despite MTX,--
BREVACTA,>=6 months,CRP of >=10 mg/l and/or ESR of >=28 mm/h,>=6 SJC and >=8 tenderj,>=1 DMARD (stable dose >=8 weeks prior to baseline);  up to 20% of population could have additional taken >=1 anti-TNF agents,"inadequate response to >=1 DMARDs  (in up to 20% of patients, could include inadequete response to >=1 anti-TNF agent)",--
CHANGE,--,CRP of >=2mg/dL,>=10 SJC and >=12 TJCj (excluding distal interphalangeal joints),>=1 DMARD,inadequate response to >=1 DMARD,any TNF antagonist or an alkylating agent
Choy 2012,>=6 months,ESR >=28 mm/h (or CRP >10 mg/la,>=9 SJC and >=9 TJCj,MTX >=6 months (stable dose 10-25mg/week for >=8 weeks prior to treatment); 10-15 mg/week was deemed acceptable in cases where a dosage reduction had been necessary because of toxicity,partial response to MTX,prior treatment with any TNF-a inhibitor
Cohen 2002,>6 months but <12 years,CRP >1.5mg/db,>=6 SJCbj,MTX (15-25mg/week) for >=6 consecutive months,inadequate response to MTX,--
Cohen 2004,>=6 months,CRP of >=15 mg/l or ESR >= 28 mm/h,>=6 SJC and >=9 TJCj,MTX (stable dose 10–25 mg/week) for >=24 weeks,inadequate response to MTX,prior treatment with an IL1Ra.
Cohen 2017,>=3 months,ESR of >=28 mm/hour or CRP of >=1.0mg/dL,>=6 SJC and >=6 TJCj,MTX for >=12 consecutive weeks (stable oral dose of 7.5–25 mg/week for ≥8 weeks before to tx),inadequate response to MTX,>=2 or more biologic therapies for RA; Previous receipt of HUMIRA® (adalimumab) or a biosimilar of adalimumab
Cohen 2018,>=4 months,hs-CRP of >= 10 mg/L,>=6 SJC and >=6 TJCj,MTX >=12 weeks (10-25mg/week) and oral folic/folinic acid (>=5mg/week) for >=21 days prior (patients intolerant to 10–25 mg/wk could enroll with an MTX dose as low as 7.5 mg/wk),inadequate response to MTX,"infliximab or lymphocyte-depleting therapies (e.g., rituximab, alemtuzumab)"
DANCER,>=6 months,ESR >=28 mm/h and CRP >=1.5mg/dL,--,MTX >= 12 weeks (stable dose 10-25mg/week prior to randomization),"1-5 DMARDs, manifesting as a lack or loss of response to treatment",--
De Filippis 2006,>2 years,"ESR >22mg/h, CRP >1.9 mg/dc",>5 SJC and >10 TJCcj,"DMARDs for >6 months, included a stable dose of MTX in the 3 months prior to study entry",inadequate response to cDMARDs,--
DE019,--,CRP >1mg/dL,>=9 TJC and >=6 SJCj,MTX >=3 months (stable dose of 12.5–25 mg/week [or 10 mg/week in patients intolerant to MTX] for >=4 weeks),inadequate response or intolerance to MTX,prior use of anti-CD4 antibody therapy or TNF antagonists
Edwards 2004,--,CRP of >= 15 mg/L or ESR of >=28 mm per houra,>=8 SJC and >=8 TJCj,MTX at >=10 mg/week,inadequate response to MTX,--
Elmedany 2019,--,--,--,at least 1 TNF,failed to achieve remission on at least 1 TNF,--
Emery 2017,>=6 months and <15 years,ESR >=28mm/h or CRP >=1.0 mg/dL despite MTX for 6 months,>=6 SJC and >=6 TJCj,MTX >=6 months (stable dose of 10-25mg/week for >=4 weeks prior to screening),inadequate response to MTX,previous bDMARD use
EQUIRA,>=6 months,CRP >5 mg/L or ESR ≥28 mm/h,--,MTX 10–25 mg/week,inadequate response to MTX 10–25 mg/week following dose escalation according to local standards ,any previous exposure to ETN; previous use of >2 biologics (allowed only if the therapy was efficient and not failing and was withdrawn because of other reasons that were not due to efficacy failure or safety issues)
ETN Study 309,<20 years,ESR >=28mm or CRP >=20mg/L,>=6 SJC and >=10 PJCj,ssz (2-3 g daily) for >=4 months before screening without signs of toxicity,inadequate response to cDMARD,etanercept or other TNF antagonists
FAST4WARD,>=6 months,ESR >28 mm/h or CRP of >=.10 mg/La,>=9 TJC and >=9 SJCj,>=1 DMARD,inadequate response of intolerance to >=1 DMARD,prior treatment with TNFa inhibitors
Fleischmann 2012,>=6 months,ESR ULN or CRP >= 7 mg/L,>=6 TJC and >=6 SJCg,>=1 DMARD,failure on >=1 DMARD due to lack of efficacy or toxicity,prior history of TNF failure
Fleischmann 2018,>=4 months,CRP >=8mg/L,>=6 SJC and >=6 TJCj,MTX for >=12 weeks with stable dose for >=4 weeks,inadequate response to MTX,no more than 2 biologic agents
GO-AFTER,>=3 months,--,>=4 SJC and >=4 TJCj,">1 dose of etanercept, adalimumab, or infliximab",inadequate response to TNF and MTX,--
GO-FORTH,>=3 months,CRP >1.5 mg/dL or ESR of >28 mm/h,>=4 SJC and >=4 SJC g,MTX for >=3 months (stable dose of 15 mg-25 mg/week during 4 weeks prior to screening),inadequate response to MTX,--
GO-FORWARD,>=3 months,CRP of >= 1.5 mg/dL or ESR >= 28 mm/h,>=4 SJC and >=4 TJCg,MTX for >=3 months (stable dose of 15 mg-25 mg/week during 4 weeks prior to screening),inadequate response to MTX,TNF inhibitors or rituximab
GO-FURTHER,>=3 months,CRP >=1.0 mg/dL,>=6 SJC and >=6 TJCg,MTX for >=3 months (stable dose of 15 mg-25 mg/week during 4 weeks prior to screening),inadequate response to MTX,--
GO-LIVE,--,CRP of >= 1.5 mg/dL or ESR of >= 28 mm/h,>= 4 SJC and >= 4 TJCj,tolerated MTX (15mg/week) >=3 months  (stable dose 15-25mg for 4 weeks prior to screening),inadequate response to MTX,"any prior receipt of rituximab, abatacept, or natalizumab"
GO-SAVE,--,--,>=6 SJC and >=6 TJCg,MTX h at a stable dose (7.5–25 mg/week) for 4 weeks and maintained unless MTX toxicity occurred,inadequate response to etanercept+MTX or adalimumab + MTX,"biologics for RA other than adalimumab and etanercept; concomintant DMARDs other than MTX, ssz, or hcq"
HERA,--,ESR of >=28 mm/h or CRP of >=1.0mg/dL,>=6 SJC and >=6 TJCj,MTX >=6 months prior to screening,inadequate response to MTX >=6 months prior to screening,--
