"Author, Year",Title,Journal,Reason,Subreason
"Aalbers, 2015",Intra-articular etanercept treatment in inflammatory arthritis: A randomized double-blind placebo-controlled proof of mechanism clinical trial validating tnf as a potential therapeutic target for local treatment,"Joint, bone, spine",Outcomes,No outcomes of interest at 24 weeks
"Abe, 2006","A multicenter, double-blind, randomized, placebo controlled trial of infliximab combined with low dose methotrexate in japanese patients with rheumatoid arthritis",Journal of rheumatology,Outcomes,No outcomes of interest at 24 weeks
"Abu-Zaid, 2018","The effectiveness of etanercept and adalimumab on anemia of chronic disease and serum hepcidin in patients with rheumatoid arthritis, a comparative study",Egyptian Rheumatologist,Study design,Non-interventional
"Allaart, 2007",Treatment of recent-onset rheumatoid arthritis: Lessons from the best study,Journal of rheumatology.,Population,cDMARD na夫e
"Alten, 2018",Abatacept used in combination with non-methotrexate disease-modifying antirheumatic drugs: A descriptive analysis of data from interventional trials and the real-world setting,Arthritis Research & Therapy,Outcomes,No outcomes of interest at 24 weeks
"Alten, 2019","Randomised, double-blind, phase iii study comparing the infliximab biosimilar, pf-06438179/gp1111, with reference infliximab: Efficacy, safety and immunogenicity from week 30 to week 54",Open Heart,Outcomes,No outcomes of interest at 24 weeks
"Alten, 2017","Janus kinase inhibitor baricitinib for rheumatoid arthritis : Randomized, double-blind, placebo- and active-controlled, phase 3 study evaluating the efficacy and safety of baricitinib in patients with moderately to severely active rheumatoid arthritis who have had an inadequate response to methotrexate therapy (ra-beam)",Der internist,Other,Language
"Anonymous, 2003",Adalimumab (humira) for rheumatoid arthritis,Medical Letter on Drugs & Therapeutics,Study design,Review
"Anonymous, 2010",Tocilizumab (actemra) for rheumatoid arthritis,Medical Letter on Drugs & Therapeutics,Study design,Review
"Anonymous, 2017",Sarilumab (kevzara) for rheumatoid arthritis,Medical Letter on Drugs and Therapeutics,Study design,Review
"Anonymous, 2018",Baricitinib (olumiant) for rheumatoid arthritis,Medical Letter on Drugs & Therapeutics,Study design,Review
"Antoni, 1999",Combination therapy of the chimeric monoclonal anti-tumor necrosis factor alpha antibody (infliximab) with methotrexate in patients with rheumatoid arthritis,Clinical and experimental rheumatology,Study design,Review
"Apsangikar, 2018","A prospective, randomized, double-blind, comparative clinical study of efficacy and safety of a biosimilar adalimumab with innovator product in patients with active rheumatoid arthritis on a stable dose of methotrexate",Indian Journal of Rheumatology,Intervention,Not of interest
"Bae, 2013",Improved health outcomes with etanercept versus usual dmard therapy in an asian population with established rheumatoid arthritis,BMC musculoskeletal disorders,Outcomes,No outcomes of interest at 24 weeks
"Bankhurst, 1999",Etanercept and methotrexate combination therapy,Clinical and experimental rheumatology,Study design,Not of interest
"Bao, 2016",Good response to infliximab in rheumatoid arthritis following failure of interleukin-1 receptor antagonist,International journal of rheumatic diseases,Outcomes,No outcomes of interest at 24 weeks
"Bao , 2016",Good response to infliximab in rheumatoid arthritis following failure of interleukin-1 receptor antagonist,International Journal of Rheumatic Diseases,Outcomes,No outcomes of interest at 24 weeks
"Bathon, 2000",A comparison of etanercept and methotrexate in patients with early rheumatoid arthritis,New England journal of medicine,Population,cDMARD na夫e
"Bay-Jensen, 2014",Serological biomarkers of joint tissue turnover predict tocilizumab response at baseline,Journal of Clinical Rheumatology,Outcomes,No outcomes of interest
"Bazzichi, 2019",Subcutaneous tocilizumab alone or with a csdmard in rheumatoid arthritis patients: Subanalysis of italian data from a multicenter phase iiib/iv trial,Clinical Rheumatology,Study design,Non-comparative post-hoc analysis
"Beals, 2017","Magnetic resonance imaging of the hand and wrist in a randomized, double-blind, multicenter, placebo-controlled trial of infliximab for rheumatoid arthritis: Comparison of dynamic contrast enhanced assessments with semi-quantitative scoring",Plos one,Outcomes,No outcomes of interest at 24 weeks
