Trial ID,"Author, Year",Title,Journal
ACQUIRE,"Genovese, 2011",Subcutaneous abatacept versus intravenous abatacept: A phase iiib noninferiority study in patients with an inadequate response to MTX,Arthritis and Rheumatism
ACT-RAY,"Dougados, 2013",Adding tocilizumab or switching to tocilizumab monotherapy in methotrexate inadequate responders: 24-week symptomatic and structural results of a 2-year randomised controlled strategy trial in rheumatoid arthritis (act-ray),Annals of the Rheumatic Diseases
,"Dougados, 2014","Clinical, radiographic and immunogenic effects after 1 year of tocilizumab-based treatment strategies in rheumatoid arthritis: The act-ray study",Annals of the Rheumatic Diseases
ACT-STAR,"Weinblatt, 2013","Tocilizumab as monotherapy or in combination with nonbiologic disease-modifying antirheumatic drugs: Twenty-four-week results of an open-label, clinical practice study",Arthritis Care and Research
ADACTA,"Gabay, 2013","Tocilizumab monotherapy versus adalimumab monotherapy for treatment of rheumatoid arthritis (adacta): A randomised, double-blind, controlled phase 4 trial",Lancet
AIM,"Kremer, 2006",Effects of abatacept in patients with methotrexate-resistant active rheumatoid arthritis: A randomized trial,Annals of Internal Medicine
AMPLE,"Weinblatt, 2013","Head-to-head comparison of subcutaneous abatacept versus adalimumab for rheumatoid arthritis: Findings of a phase iiib, multinational, prospective, randomized study",Arthritis and Rheumatism
ARMADA,"Weinblatt, 2003","Adalimumab, a fully human anti-tumor necrosis factor alpha monoclonal antibody, for the treatment of rheumatoid arthritis in patients taking concomitant methotrexate: The armada trial",Arthritis and Rheumatism
ASCERTAIN,"Emery, 2018",Safety and tolerability of subcutaneous sarilumab and intravenous tocilizumab in patients with rheumatoid arthritis,Rheumatology
ATTAIN,"Emery, 2005",Abatacept has beneficial effects in rheumatoid arthritis patients with an inadequate response to anti-tnfalpha therapy,Clinical and Experimental Rheumatology
,"Genovese, 2005",Abatacept for rheumatoid arthritis refractory to tumor necrosis factor alpha inhibition,New England Journal of Medicine
,"Westhovens, 2006","Improved health-related quality of life for rheumatoid arthritis patients treated with abatacept who have inadequate response to anti-tnf therapy in a double-blind, placebo-controlled, multicentre randomized clinical trial",Rheumatology
ATTAIN;AIM,"Wells, 2009","Validation of the 28-joint disease activity score (das28) and european league against rheumatism response criteria based on c-reactive protein against disease progression in patients with rheumatoid arthritis, and comparison with the das28 based on erythrocyte sedimentation rate",Annals of the Rheumatic Diseases
ATTEST,"Schiff, 2008","Efficacy and safety of abatacept or infliximab vs placebo in attest: A phase iii, multi-centre, randomised, double-blind, placebo-controlled study in patients with rheumatoid arthritis and an inadequate response to methotrexate",Annals of the Rheumatic Diseases
ATTRACT,"Lipsky, 2000",Infliximab and methotrexate in the treatment of rheumatoid arthritis. Anti-tumor necrosis factor trial in rheumatoid arthritis with concomitant therapy study group,New England Journal of Medicine
,"Maini, 2004","Sustained improvement over two years in physical function, structural damage, and signs and symptoms among patients with rheumatoid arthritis treated with and methotrexate",Arthritis and Rheumatism
,"Maini, 1999",Infliximab (chimeric anti-tumour necrosis factor alpha monoclonal antibody) versus placebo in rheumatoid arthritis patients receiving concomitant methotrexate: A randomised phase iii trial. Attract study group,Lancet
Bao 2011,"Bao et al, 2011",Secondary failure to treatment with recombinant human il-1 receptor antagonist in chinese patients with rheumatoid arthritis,Clinical Rheumatology
BREVACTA,"Kivitz, 2014",Subcutaneous tocilizumab versus placebo in combination with disease-modifying antirheumatic drugs in patients with rheumatoid arthritis,Arthritis Care and Research
CHANGE,"Miyasaka, 2008",Clinical investigation in highly disease-affected rheumatoid arthritis patients in japan with adalimumab applying standard and general evaluation: The change study,Modern Rheumatology
Choy 2012,"Choy, 2012",Certolizumab pegol plus mtx administered every 4 weeks is effective in patients with ra who are partial responders to mtx,Rheumatology
Cohen 2002,"Cohen et al, 2002","Treatment of rheumatoid arthritis with anakinra, a recombinant human interleukin-1 receptor antagonist, in combination with methotrexate: Results of a twenty-four-week, multicenter, randomized, double-blind, placebo-controlled trial",Arthritis and Rheumatism
,"Cohen et al, 2003",Interleukin 1 receptor antagonist anakinra improves functional status in patients with rheumatoid arthritis,Journal of Rheumatology
Cohen 2004,"Cohen et al, 2004","A multicentre, double blind, randomised, placebo controlled trial of anakinra (kineret), a recombinant interleukin 1 receptor antagonist, in patients with rheumatoid arthritis treated with background methotrexate",Annals of the Rheumatic Diseases
Cohen 2017,"Cohen, 2017","Efficacy and safety of the biosimilar abp 501 compared with adalimumab in patients with moderate to severe rheumatoid arthritis: A randomised, double-blind, phase iii equivalence study",Annals of the Rheumatic Diseases
