Trial Name,Intervention,N,"Age (mean, SD)","Male (n,%)","Caucasian (n, %)","Asian (n, %)","TJC (mean, SD)b","SJC (mean, SD)b","DAS28 CRP (mean, SD)","DAS28 ESR (mean, SD)","HAQ-DI (mean, SD)"
ACQUIRE,ABT (125mg SC) + cDMARD,736,49.9 (13.2),-- (15.6),-- (74.7),-- (--),30.1 (14.1),20.4 (9.6),6.2 (0.9),-- (--),1.7 (0.7)
,ABT (10mg/kg IV) + cDMARD,721,50.1 (12.6),-- (19.6),-- (74.5),-- (--),29.1 (13.3),19.4 (8.6),6.2 (0.8),-- (--),1.7 (0.7)
ACT-RAY,TOC (8mg/kg IV) + cDMARD,279,53.0 (13.4),50 (18.1),-- (--),-- (--),25.8 (13.9),14.4 (8.9),-- (--),6.3 (1.0),1.5 (0.7)
,TOC (8mg/kg IV),277,53.6 (11.9),59 (21.4),-- (--),-- (--),26.6 (15.2),15.3 (10.2),-- (--),6.4 (1.0),1.5 (0.6)
ADACTA,TOC (8mg/kg IV),163,54.4 (13.0),34 (21.0),145 (89.0),-- (--),15.9 (6.7)c,11.3 (5.3)c,-- (--),6.7 (0.9),1.6 (0.6)
,ADA (40mg SC),163,53.3 (12.4),29 (18.0),133 (82.0),-- (--),16.5 (7.0)c,12.4 (5.4)c,-- (--),6.8 (0.9),1.7 (0.6)
AIM,ABT (10mg/kg IV) + cDMARD,433,51.5 (12.9),-- (22.2),-- (87.5),-- (--),31.0 (13.2),21.4 (8.8),-- (--),-- (--),1.7 (0.7)
,cDMARD,219,50.4 (12.4),-- (18.3),-- (88.1),-- (--),32.3 (13.6),22.1 (8.8),-- (--),-- (--),1.7 (0.6)
AMPLE,ADA (40mg SC) + cDMARD,328,51.0 (12.8),-- (17.6),-- (78.0),-- (--),26.3 (15.8),15.9 (10.0),5.5 (1.1),-- (--),1.5 (0.7)
,ABT (125mg SC) + cDMARD,318,51.4 (12.6),-- (18.6),-- (80.8),-- (--),25.4 (15.3),15.8 (9.8),5.5 (1.1),-- (--),1.5 (0.7)
ARMADA,ADA (80mg SC) + cDMARD,73,55.5 (11.7),-- (24.7),-- (--),-- (--),30.3 (15.7),17.0 (8.2),-- (--),-- (--),1.6 (0.7)
,ADA (20mg SC) + cDMARD,69,53.5 (12.4),-- (24.6),-- (--),-- (--),28.5 (14.4),17.6 (8.7),-- (--),-- (--),1.5 (0.6)
,ADA (40mg SC) + cDMARD,67,57.2 (11.4),-- (25.4),-- (--),-- (--),28.0 (12.7),17.3 (8.6),-- (--),-- (--),1.6 (0.6)
,cDMARD,62,56.0 (10.8),-- (17.7),-- (--),-- (--),28.7 (15.2),16.9 (9.5),-- (--),-- (--),1.6 (0.6)
ATTEST,IFX (3mg/kg IV Q8WEEK) + cDMARD,165,49.1 (12.0),-- (17.6),-- (80.6),-- (--),31.7 (14.5),20.3 (8.0),-- (--),6.8 (0.9),1.7 (0.7)
,ABT (10mg/kg IV) + cDMARD,156,49.0 (12.5),-- (16.7),-- (80.8),-- (--),31.6 (13.9),21.3 (8.6),-- (--),6.9 (1.0),1.8 (0.6)
,cDMARD,110,49.4 (11.5),-- (12.7),-- (76.4),-- (--),30.3 (11.7),20.1 (7.0),-- (--),6.8 (1.0),1.8 (0.7)
ATTRACT,cDMARD,88,51.0a,-- (20.0),78 (89.0),-- (--),24.0a,19.0a,-- (--),-- (--),-- (--)
,IFX (10mg/kg IV Q8WEEK) + cDMARD,87,55.0a,-- (23.0),79 (91.0),-- (--),30.0a,20.0a,-- (--),-- (--),-- (--)
,IFX (3mg/kg IV Q4WEEK) + cDMARD,86,51.0a,-- (23.0),76 (88.0),-- (--),31.0a,20.0a,-- (--),-- (--),-- (--)
,IFX (3mg/kg IV Q8WEEK) + cDMARD,86,56.0a,-- (19.0),80 (93.0),-- (--),32.0a,19.0a,-- (--),-- (--),-- (--)
,IFX (10mg/kg IV Q4WEEK) + cDMARD,81,52.0a,-- (27.0),76 (94.0),-- (--),35.0a,23.0a,-- (--),-- (--),-- (--)
Bao 2011,ANA (80mg SC) + cDMARD,42,45.0 (10.0),9 (21.4),-- (--),-- (--),11.4 (6.5),7.8 (4.5),-- (--),-- (--),.6 (0.7)
,cDMARD,12,45.0 (11.0),2 (16.7),-- (--),-- (--),10.4 (7.1),6.1 (4.0),-- (--),-- (--),.7 (0.6)
CHANGE,ADA (40mg SC),91,56.9 (10.3),19 (20.9),-- (--),-- (--),24.4 (10.7),19.1 (7.3),-- (--),-- (--),1.6 (0.7)
,Placebo,87,53.4 (12.8),20 (23.0),-- (--),-- (--),23.7 (8.8),19.3 (7.0),-- (--),-- (--),1.4 (0.8)
,ADA (20mg SC Q2WEEK),87,54.8 (12.5),18 (20.7),-- (--),-- (--),24.6 (11.1),19.2 (8.4),-- (--),-- (--),1.6 (0.8)
,ADA (80mg SC),87,54.3 (10.9),15 (17.2),-- (--),-- (--),24.9 (10.7),20.8 (7.9),-- (--),-- (--),1.8 (0.7)
Choy 2012,CTZ (400mg SC) + cDMARD,126,53.0 (12.3),35 (27.8),-- (--),-- (--),29.0 (11.6),22.8 (9.4),6.2 (1.0),-- (--),-- (--)
,cDMARD,121,55.6 (11.7),41 (33.9),-- (--),-- (--),31.0 (12.9),22.2 (9.6),6.3 (1.0),-- (--),-- (--)
Cohen 2002,cDMARD,74,53.0 (--),-- (14.9),67 (90.5),-- (--),28.1 (13.9),18.4 (9.8),-- (--),-- (--),1.4 (0.6)
,ANA (0.04mg/kg SC) + cDMARD,63,52.6 (--),-- (22.2),56 (88.9),-- (--),23.9 (11.4),18.8 (8.7),-- (--),-- (--),1.4 (0.6)
,ANA (0.1mg/kg SC) + cDMARD,74,53.0 (--),-- (20.3),67 (90.5),-- (--),25.9 (14.8),18.3 (9.2),-- (--),-- (--),1.5 (0.7)
,ANA (0.4mg/kg SC) + cDMARD,77,52.8 (--),-- (23.4),64 (83.1),-- (--),27.1 (13.0),19.1 (9.2),-- (--),-- (--),1.5 (0.6)
,ANA (1mg/kg SC) + cDMARD,59,49.0 (--),-- (15.3),51 (86.4),-- (--),22.0 (12.9),17.6 (8.8),-- (--),-- (--),1.3 (0.6)
,ANA (2mg/kg SC) + cDMARD,72,54.1 (--),-- (37.5),66 (91.7),-- (--),24.6 (12.8),17.4 (8.1),-- (--),-- (--),1.3 (0.6)
Cohen 2004,ANA (100mg SC) + cDMARD,250,56.0 (--),-- (21.0),-- (86.0),-- (--),26.8 (15.7),20.1 (11.7),-- (--),-- (--),1.4 (0.6)
,cDMARD,251,57.0 (--),-- (25.0),-- (87.0),-- (--),24.5 (13.1),20.0 (10.2),-- (--),-- (--),1.3 (0.6)
Cohen 2018,IFX (3mg/kg IV Q8WEEK) + cDMARD,326,52.8 (12.9),62 (19.0),247 (76.0),45 (13.8),25.7 (12.9),16.3 (8.7),6.0 (0.9),-- (--),1.6 (0.7)
,IFX-Pfizer (3mg/kg IV) + cDMARD,324,52.8 (13.3),66 (20.4),257 (79.0),46 (14.2),24.7 (13.9),16.1 (9.4),6.0 (1.0),-- (--),1.6 (0.6)
De Filippis 2006,ETN (50mg SC) + cDMARD,16,44.7 (14.2),-- (--),-- (--),-- (--),22.4 (8.1),16.9 (7.3),-- (--),-- (--),1.9 (0.7)
,IFX (3mg/kg IV Q8WEEK) + cDMARD,16,46.8 (10.9),-- (--),-- (--),-- (--),20.9 (10.0),14.7 (5.0),-- (--),-- (--),1.7 (0.7)
DE019,ADA (20mg SC) + cDMARD,212,57.3 (10.5),52 (24.5),-- (85.4),-- (--),27.9 (13.6),19.6 (9.9),-- (--),-- (--),1.4 (0.6)
,ADA (40mg SC) + cDMARD,207,56.1 (13.5),49 (23.7),-- (83.6),-- (--),27.3 (12.7),19.3 (9.8),-- (--),-- (--),1.5 (0.6)
,cDMARD,200,56.1 (12.0),54 (27.0),-- (83.0),-- (--),28.1 (13.8),19.0 (9.5),-- (--),-- (--),1.5 (0.6)
Edwards 2004,RTX (1000mg IV),40,54.0 (10.0),-- (27.0),-- (--),-- (--),34.0 (15.0),21.0 (11.0),-- (--),6.8 (1.0),-- (--)
,RTX (1000mg IV) + cDMARD,40,54.0 (12.0),-- (25.0),-- (--),-- (--),32.0 (16.0),23.0 (13.0),-- (--),6.8 (0.9),-- (--)
,cDMARD,40,54.0 (11.0),-- (20.0),-- (--),-- (--),32.0 (13.0),19.0 (10.0),-- (--),6.9 (0.8),-- (--)
Emery 2017,ETN-SB4 (50mg SC) + cDMARD,299,52.1 (11.7),50 (16.7),-- (93.3),-- (3.7),23.5 (11.9),15.4 (7.5),-- (--),6.5 (0.9),1.5 (0.6)
,ETN (50mg SC) + cDMARD,297,51.6 (11.6),44 (14.8),-- (91.9),-- (4.4),23.6 (12.6),15.0 (7.3),-- (--),6.5 (0.9),1.5 (0.6)
EQUIRA,ETN (50mg SC) + cDMARD,190,53.2 (12.7),40 (21.1),185 (97.0),3 (1.6),14.8 (5.8)c,11.1 (5.4)c,5.6 (0.8),-- (--),1.4 (0.6)
,ETN-GP2015 (50mg SC) + cDMARD,186,55.2 (11.2),28 (15.1),180 (97.0), (.0),14.2 (6.2)c,10.5 (5.3)c,5.4 (0.9),-- (--),1.5 (0.6)
ETN Study 309,ETN (50mg SC),103,51.3 (13.5),22 (21.4),-- (--),-- (--),29.7 (14.7),19.1 (10.1),-- (--),5.1 (1.1),1.7 (0.6)
,ETN (50mg SC) + cDMARD,101,50.6 (12.3),20 (19.8),-- (--),-- (--),31.3 (14.1),19.4 (10.4),-- (--),5.2 (1.2),1.6 (0.6)
,cDMARD,50,53.3 (12.8),9 (18.0),-- (--),-- (--),31.3 (14.0),18.7 (11.1),-- (--),5.0 (1.1),1.6 (0.5)
FAST4WARD,CTZ (400mg SC),111,52.7 (12.7),24 (21.6),-- (--),-- (--),29.6 (13.7),21.2 (10.1),-- (--),6.3 (1.1),1.4 (0.6)
,Placebo,109,54.9 (11.6),12 (11.0),-- (--),-- (--),28.3 (12.5),19.9 (9.3),-- (--),6.3 (0.9),1.6 (0.7)
Fleischmann 2012,Placebo,59,53.0 (13.7),-- (11.0),43 (72.9),6 (10.2),25.9 (--),16.9 (--),5.6 (--),6.6 (--),1.5 (--)
,TOF (1mg PO),54,55.0 (13.3),-- (14.8),44 (81.5),5 (9.3),27.0 (--),16.7 (--),5.5 (--),6.5 (--),1.6 (--)
