order,search_terms,results
1,exp rheumatoid arthritis/,187909
2,"*Rheumatoid Arthritis/dt, dm, co, th, dr",34018
3,1 or 2,187909
4,exp anakinra/,1822
5,"(Urine Interleukin 1 Inhibitor or Antril or Kineret or Anakinra).ti,ab.",3292
6,exp adalimumab/,29758
7,"(adalimumab or Humira or D2E7 Antibody).ti,ab.",15909
8,exp certolizumab pegol/,5753
9,"(certolizumab pegol or Cimzia or Cimzias or CDP-870).ti,ab.",1811
10,exp etanercept/,29146
11,"(etanercept or Enbrel or TNF Receptor Type II-IgG Fusion Protein or Recombinant Human Dimeric TNF Receptor Type II-IgG Fusion Protein).ti,ab.",13565
12,exp golimumab/,5898
13,"(golimumab or Simponi or CNTO-148).ti,ab.",3191
14,exp infliximab/,46385
15,"(infliximab or Remicade or Infliximab-dyyb or Inflectra or CenTNF or TA-650).ti,ab.",23567
16,exp rituximab/,71192
17,"(rituximab or Mabthera or Rituxan or Rituximab CD20 Antibody or IDEC-102 or IDEC-C2B8 or IDEC-C2B8-anti-CD20).ti,ab.",40561
18,exp abatacept/,8278
19,"(abatacept or Belatacept or Nulojix or Orencia or BMS-188667).ti,ab.",4866
20,exp tocilizumab/,9614
21,"(tocilizumab or atlizumab or Actemra or ACTPen).ti,ab.",6161
22,exp sarilumab/,374
23,exp iguratimod/,221
24,"(sarilumab or iguratimod or Careram or Kolbet or T-614 or Kevzara or REGN-88 or SAR-153191).ti,ab.",438
25,exp tofacitinib/,3251
26,"(tasocitinib or tofacitinib citrate or Xeljanz or Cp-690,550 or CP-690550 or Jaquinus).ti,ab.",293
27,baricitinib.mp.,763
28,"(LY309104 or INCB028050 or Olumiant).ti,ab.",25
29,upadacitinib.mp.,192
30,"(ABT-494).ti,ab.",43
31,exp methotrexate/,167405
32,"(amethopterin or mexate or methotrexate or Otrexup or VIBEX MTX or DepoMethotrexate or Jylamvo).ti,ab.",62417
33,exp sulfasalazine/,24168
34,"(sulfasalazine or salicylazosulfapyridine or salazosulfapyridine or Pyralin or azulfadine or asulfidine or Colo-Pleon or Colo Pleon or Pleon or Ulcol or sulfasalazin or Ucine or salazopyrin).ti,ab.",5854
35,exp hydroxychloroquine/,21806
36,"(hydroxychloroquine or oxychlorochin or oxychloroquine or hydroxychlorochin or plaquenil).ti,ab.",7062
37,(31 or 32) and (33 or 34) and (35 or 36),4507
38,"(triple therapy).ti,ab.",9763
39,"or/4-30, 37, 38",166313
40,Clinical trial/,957596
41,randomized controlled trial/,548967
42,controlled clinical trial/,462492
43,multicenter study/,215446
44,Phase 3 clinical trial/,39689
45,Phase 4 clinical trial/,3404
46,exp RANDOMIZATION/,82570
47,single blind procedure/,35014
48,double blind procedure/,160287
49,crossover procedure/,59104
50,PLACEBO/,333751
51,randomi?ed controlled trial$.tw.,201791
52,rct.tw.,32266
53,(random$ adj2 allocat$).tw.,39742
54,single blind$.tw.,22863
55,double blind$.tw.,197482
56,((treble or triple) adj blind$).tw.,956
57,placebo$.tw.,288822
58,Prospective study/,518790
59,or/40-58,2131018
60,case study/,61210
61,case report.tw.,381208
62,Abstract report/ or letter/,1099876
63,Conference proceeding.pt.,0
64,Conference abstract.pt.,3404073
65,Editorial.pt.,600353
66,Letter.pt.,1063962
67,Note.pt.,751642
68,or/60-67,6241081
69,59 not 68,1609889
70,3 and 39 and 69,6981
