order,search_terms,results
1,exp rheumatoid arthritis/,106160
2,exp abatacept/,2594
3,"(Belatacept or Nulojix or Orencia).ti,ab.",357
4,exp adalimumab/,4023
5,"(Humira or D2E7 Antibody).ti,ab.",166
6,exp anakinra/,4651
7,"(Urine Interleukin 1 Inhibitor or Antril or Kineret or Anakinra).ti,ab.",1325
8,exp certolizumab pegol/,450
9,"(Cimzia or Cimzias).ti,ab.",26
10,exp etanercept/,5231
11,"(Enbrel or TNF Receptor Type II-IgG Fusion Protein or Recombinant Human Dimeric TNF Receptor Type II-IgG Fusion Protein).ti,ab.",262
12,"golimumab.ti,ab.",655
13,"Simponi.ti,ab.",16
14,exp infliximab/,8818
15,"Remicade.ti,ab.",277
16,exp rituximab/,11483
17,"(Mabthera or Rituxan or Rituximab CD20 Antibody).ti,ab.",391
18,"tocilizumab.ti,ab.",1745
19,"(atlizumab or Actemra).ti,ab.",45
20,"tofacitinib.ti,ab.",485
21,"(tasocitinib or tofacitinib citrate or Xeljanz).ti,ab.",35
22,sarilumab.mp.,31
23,or/2-22,35567
24,Randomized Controlled Trials as Topic/,114107
25,randomized controlled trial/,465933
26,Random Allocation/,93126
27,Double Blind Method/,147889
28,Single Blind Method/,24767
29,clinical trial/,522248
30,"clinical trial, phase i.pt.",18860
31,"clinical trial, phase ii.pt.",30398
32,"clinical trial, phase iii.pt.",13987
33,"clinical trial, phase iv.pt.",1500
34,controlled clinical trial.pt.,94208
35,randomized controlled trial.pt.,465933
36,multicenter study.pt.,229903
37,clinical trial.pt.,522248
38,exp Clinical Trials as topic/,314911
39,23 or 24 or 25 or 26 or 27 or 28 or 29 or 30 or 31 or 32 or 33 or 34 or 35 or 36 or 37,1237136
40,(clinical adj trial$).tw.,295119
41,((singl$ or doubl$ or treb$ or tripl$) adj (blind$3 or mask$3)).tw.,156210
42,PLACEBOS/,35019
43,placebo$.tw.,193760
44,randomly allocated.tw.,23101
45,(allocated adj2 random$).tw.,26083
46,or/39-44,539096
47,38 or 45,1441886
48,case report.tw.,257157
49,letter/,969638
50,historical article/,348202
51,47 or 48 or 49,1561109
52,46 not 50,1408669
53,1 and 22 and 51,2270
54,limit 52 to english language,2099
