Trial,Treatment,ACR 20,ACR 50,ACR 70,cfb DAS28 (se),cfb HAQ-DI (se)
ACQUIRE,ABT (10mg/kg IV) + cDMARD,535/721 (74.3%),350/721 (48.6%),174/721 (24.2%),-2.57 (0.05),-0.7 (0.02)
ACQUIRE,ABT (125mg SC) + cDMARD,550/736 (74.8%),369/736 (50.2%),189/736 (25.8%),-2.55 (0.05),-0.69 (0.02)
ACT-RAY,TOC (8mg/kg IV),194/276 (70.3%),110/276 (40.2%),70/276 (25.4%),-3.21 (0.08),-0.55 (0.03)
ACT-RAY,TOC (8mg/kg IV) + cDMARD,198/277 (71.5%),126/277 (45.5%),67/277 (24.5%),-3.43 (0.08),-0.56 (0.04)
ADACTA,ADA (40mg SC),80/162 (49.4%),45/162 (27.8%),29/162 (17.9%),-1.8 (0.11),-0.5 (0.09)
ADACTA,TOC (8mg/kg IV),106/163 (65%),77/163 (47.2%),53/163 (32.5%),-3.3 (0.11),-0.7 (0.09)
AIM,ABT (10mg/kg IV) + cDMARD,287/424 (67.9%),169/424 (39.9%),83/424 (19.8%),-2.38 (0.06),-0.62 (0.03)
AIM,cDMARD,84/214 (39.7%),35/214 (16.8%),13/214 (6.5%),-1.29 (0.09),-0.52 (0.05)
AMPLE,ABT (125mg SC) + cDMARD,210/318 (66.2%),128/318 (40.5%),67/318 (21.2%),-2.06 (0.08),
AMPLE,ADA (40mg SC) + cDMARD,217/328 (66.2%),132/328 (40.5%),76/328 (23.2%),-2.12 (0.07),
ARMADA,cDMARD,9/62 (14.5%),5/62 (8.1%),3/62 (4.8%),,-0.27 (0.07)
ARMADA,ADA (20mg SC) + cDMARD,33/69 (47.8%),22/69 (31.9%),7/69 (10.1%),,-0.54 (0.07)
ARMADA,ADA (40mg SC) + cDMARD,45/67 (67.2%),37/67 (55.2%),18/67 (26.9%),,-0.62 (0.08)
ARMADA,ADA (80mg SC) + cDMARD,48/73 (65.8%),31/73 (42.5%),14/73 (19.2%),,-0.59 (0.06)
ATTEST,cDMARD,45/110 (41.8%),22/110 (20%),10/110 (9.1%),-1.48 (0.15),-0.31 (0.06)
ATTEST,ABT (10mg/kg IV) + cDMARD,104/156 (66.7%),63/156 (40.4%),31/156 (20.5%),-2.53 (0.12),-0.69 (0.05)
ATTEST,IFX (3mg/kg IV Q8WEEK) + cDMARD,98/165 (59.4%),61/165 (37%),39/165 (24.2%),-2.25 (0.12),-0.61 (0.05)
ATTRACT,cDMARD,20/88 (22.9%),NA/88 (NA%),NA/88 (NA%),,
ATTRACT,IFX (10mg/kg IV Q4WEEK) + cDMARD,39/87 (44.9%),NA/87 (NA%),NA/87 (NA%),,
ATTRACT,IFX (10mg/kg IV Q8WEEK) + cDMARD,43/81 (53.8%),NA/81 (NA%),NA/81 (NA%),,
ATTRACT,IFX (3mg/kg IV Q4WEEK) + cDMARD,49/86 (57.5%),NA/86 (NA%),NA/86 (NA%),,
ATTRACT,IFX (3mg/kg IV Q8WEEK) + cDMARD,46/86 (53.7%),NA/86 (NA%),NA/86 (NA%),,
Bao 2011,cDMARD,2/12 (17%),0/12 (0%),0/12 (0%),-1.28 (0.23),
Bao 2011,ANA (80mg SC) + cDMARD,27/42 (64%),15/42 (38%),7/42 (17%),-1.69 (0.3),
CHANGE,ADA (20mg SC Q2WEEK),25/87 (28.7%),14/87 (16.1%),9/87 (10.3%),,-0.2 (0.05)
CHANGE,ADA (40mg SC),40/91 (44%),22/91 (24.2%),11/91 (12.1%),,-0.2 (0.06)
CHANGE,ADA (80mg SC),44/87 (50.6%),28/87 (32.2%),13/87 (14.9%),,-0.4 (0.06)
CHANGE,Placebo,12/87 (13.8%),5/87 (5.7%),1/87 (1.1%),,0.1 (0.06)
Choy 2012,cDMARD,27/119 (22.9%),7/119 (5.9%),2/119 (1.7%),,-0.09 (0.1)
Choy 2012,CTZ (400mg SC) + cDMARD,56/124 (45.9%),22/124 (18%),0/124 (0%),,-0.32 (0.1)
Cohen 2002,cDMARD,11/48 (23%),1/48 (4%),0/48 (0%),,-0.15 (0.18)
Cohen 2002,ANA (0.04mg/kg SC) + cDMARD,11/63 (19%),8/63 (13%),3/63 (5%),,
